geneID	Description	Pathway	Pathway_map
100858352	ECH1; delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	Peroxisome - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04146/image
100858354	HIST1H103; histone H1.03	-	-
416683	CPA5; carboxypeptidase A5 precursor	-	-
416682	CPA2; carboxypeptidase A2 precursor	-	-
107049691	uncharacterized protein LOC107049691	-	-
107049690	platelet glycoprotein VI-like	-	-
107049692	uncharacterized LOC107049692, transcript variant X1	-	-
421935	cystin-1	-	-
107049696	uncharacterized LOC107049696	-	-
416687	FBXO18; F-box DNA helicase 1	-	-
421932	YWHAQ; 14-3-3 protein theta	Cell cycle - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04110/image
421932	YWHAQ; 14-3-3 protein theta	Oocyte meiosis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04114/image
396298	TAL1; T-cell acute lymphocytic leukemia protein 1 homolog	-	-
396295	BTG1; protein BTG1	RNA degradation - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03018/image
396294	FYN; tyrosine-protein kinase Fyn	Focal adhesion - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04510/image
